gen:0{ accuracy:[41.54, 58.33, 47.47, 51.8, 55.11, 47.05, 70.3, 20.46, 23.91, 65.95, 71.15, 50.55, 29.67, 51.96, 59.0, 50.16, 59.84, 33.21, 48.15, 72.92, 48.97, 58.63, 37.43, 69.02, 71.01, 42.52, 72.27, 44.98, 58.9, 26.03, 71.33, 49.53, 51.04, 67.5, 37.24, 63.24, 53.54, 40.1, 66.59, 70.16, 67.39, 56.91, 54.76, 41.15, 58.6, 45.69, 41.25, 65.64, 56.03, 66.84, 62.01, 42.94, 36.27, 54.57, 37.88, 37.92, 59.41, 59.54, 44.29, 32.19, 59.75, 49.55, 63.45, 48.23, 58.32, 52.45, 51.32, 53.92, 38.14, 46.97, 49.73, 67.16, 40.72, 66.57, 41.72]}
gen:1{ accuracy:[64.29, 60.77, 52.46, 67.84, 51.32, 30.61, 67.19, 47.57, 71.3, 37.56, 64.36, 60.86, 70.3, 69.37, 72.5, 25.34, 48.52, 38.99, 61.47, 61.64, 47.44, 65.34, 41.48, 67.31, 70.09, 49.44, 60.43, 69.75, 59.17, 63.86, 45.83, 44.38, 48.24, 64.08, 41.15, 71.24, 48.02, 63.8, 55.09, 40.63, 39.36, 66.58, 69.43, 53.99, 67.63, 60.47, 17.92, 55.96, 58.77, 71.51, 69.61, 50.79, 53.99, 33.74, 51.8, 18.16, 65.21, 71.06, 68.75, 70.35, 41.91, 18.27, 61.23, 46.28, 53.47, 50.65, 64.52, 65.37, 66.32, 57.02, 28.9, 37.92, 66.24, 65.36, 33.86]}
gen:2{ accuracy:[28.87, 54.49, 64.05, 29.48, 65.98, 62.17, 68.3, 55.29, 27.66, 69.62, 10.0, 54.14, 64.38, 37.92, 29.01, 18.5, 63.98, 52.54, 61.59, 31.66, 38.93, 63.39, 61.99, 60.93, 68.3, 61.98, 58.86, 10.0, 52.61, 49.28, 65.02, 18.25, 67.57, 63.33, 62.39, 64.88, 53.27, 58.71, 54.4, 50.63, 40.58, 61.78, 64.81, 50.64, 24.26, 63.2, 69.46, 60.49, 57.2, 56.26, 65.86, 70.46, 45.15, 65.68, 59.99, 54.07, 41.22, 58.74, 61.38, 17.41, 61.86, 28.93, 25.16, 69.86, 46.71, 67.83, 64.37, 70.75, 68.21, 26.16, 45.07, 14.77, 70.02, 62.69, 68.1]}
gen:3{ accuracy:[39.02, 45.72, 54.81, 49.08, 60.62, 62.79, 69.06, 59.04, 71.26, 71.81, 48.01, 69.73, 66.3, 48.99, 56.18, 64.82, 37.95, 62.63, 69.76, 31.39, 67.16, 65.87, 44.93, 49.07, 10.0, 57.89, 68.65, 53.19, 54.43, 40.35, 49.29, 75.41, 42.38, 50.09, 48.15, 64.09, 42.37, 74.08, 48.66, 67.79, 74.42, 37.28, 69.56, 48.27, 69.14, 49.37, 10.0, 59.73, 66.35, 26.4, 65.63, 42.03, 49.66, 62.02, 15.91, 58.56, 64.16, 65.46, 69.73, 66.84, 67.16, 55.14, 68.52, 46.57, 41.93, 53.06, 10.0, 68.55, 49.81, 46.61, 71.86, 33.51, 57.37, 62.57, 48.73]}
gen:4{ accuracy:[64.7, 44.72, 42.53, 27.05, 66.13, 74.72, 68.8, 68.64, 70.63, 65.02, 60.38, 65.22, 56.43, 70.14, 63.11, 62.06, 42.31, 66.07, 71.06, 47.16, 65.27, 52.85, 67.24, 37.18, 16.88, 59.44, 63.14, 65.58, 70.11, 69.0, 27.15, 57.72, 66.87, 34.27, 64.87, 68.6, 39.42, 70.5, 55.66, 66.72, 45.47, 73.2, 70.95, 67.42, 66.98, 63.22, 56.18, 61.08, 37.83, 60.69, 48.89, 51.77, 70.4, 70.59, 52.19, 62.92, 10.0, 18.28, 65.61, 24.54, 53.62, 70.18, 62.56, 66.73, 67.07, 62.0, 72.43, 48.99, 72.57, 66.23, 49.64, 60.29, 66.51, 35.92, 66.83]}
gen:5{ accuracy:[71.06, 57.75, 48.23, 61.37, 49.09, 63.3, 75.68, 72.42, 50.66, 68.57, 63.41, 68.49, 49.18, 50.77, 49.05, 66.84, 65.06, 70.22, 64.54, 68.13, 54.16, 57.23, 48.35, 56.11, 66.11, 40.99, 67.99, 59.37, 67.73, 65.83, 76.88, 70.12, 75.33, 70.69, 64.13, 10.0, 67.95, 55.58, 69.99, 71.43, 69.06, 69.03, 39.1, 73.09, 70.42, 49.71, 53.65, 63.36, 68.61, 66.73, 64.81, 76.93, 49.67, 10.0, 45.2, 67.36, 63.9, 63.91, 67.17, 69.38, 65.02, 67.46, 65.63, 47.45, 69.19, 69.2, 10.0, 58.24, 65.99, 41.7, 47.48, 64.42, 65.84, 71.58, 70.12]}
gen:6{ accuracy:[63.05, 58.56, 73.39, 62.08, 70.46, 75.07, 74.88, 74.22, 62.17, 70.47, 60.19, 59.72, 68.05, 43.84, 67.17, 62.52, 72.06, 59.02, 74.31, 66.15, 62.7, 58.99, 60.74, 69.09, 78.22, 70.53, 72.54, 74.79, 71.68, 63.51, 56.88, 10.0, 63.76, 73.24, 67.36, 54.0, 60.14, 62.3, 73.82, 71.26, 55.37, 64.35, 71.65, 67.74, 65.09, 61.91, 72.42, 74.29, 66.06, 65.06, 72.68, 68.45, 47.97, 64.41, 67.43, 71.99, 52.06, 65.08, 61.0, 73.5, 61.88, 63.85, 39.91, 69.43, 63.44, 76.52, 63.81, 73.59, 65.9, 75.56, 69.02, 72.53, 74.06, 62.63, 70.11]}
gen:7{ accuracy:[74.15, 75.71, 69.87, 51.55, 62.78, 68.76, 76.04, 74.84, 70.8, 75.81, 70.43, 61.93, 71.19, 58.4, 75.97, 48.97, 69.89, 51.21, 42.77, 71.41, 75.33, 46.98, 70.03, 70.86, 71.91, 73.39, 60.33, 49.35, 54.6, 70.44, 77.14, 65.92, 73.34, 73.66, 53.8, 40.95, 78.31, 33.54, 51.91, 32.62, 49.71, 74.48, 74.89, 74.53, 73.88, 70.2, 76.29, 71.06, 70.76, 52.71, 70.27, 77.43, 76.23, 59.37, 75.51, 70.94, 70.23, 71.29, 68.25, 38.83, 70.11, 51.36, 10.0, 72.64, 75.37, 53.44, 70.61, 70.83, 51.64, 62.27, 35.21, 52.89, 76.52, 73.99, 74.98]}
gen:8{ accuracy:[60.83, 53.38, 73.35, 37.69, 61.75, 41.09, 74.9, 65.37, 65.32, 76.64, 28.77, 56.9, 68.77, 61.9, 70.83, 70.51, 48.72, 47.23, 39.91, 72.05, 65.57, 53.28, 40.46, 17.82, 69.69, 53.25, 75.56, 58.72, 52.98, 60.53, 64.29, 69.8, 70.9, 70.82, 71.11, 69.08, 61.9, 75.35, 34.9, 44.44, 66.46, 73.46, 64.96, 53.42, 65.92, 67.75, 72.37, 65.51, 49.07, 62.64, 21.83, 60.08, 71.44, 44.14, 48.82, 58.8, 62.31, 72.53, 76.71, 71.19, 60.87, 35.88, 10.0, 50.71, 64.35, 68.66, 74.79, 47.1, 55.31, 68.08, 57.65, 54.13, 61.48, 49.23, 64.91]}
gen:9{ accuracy:[42.33, 69.77, 64.11, 69.72, 20.92, 57.0, 61.27, 53.57, 73.18, 70.56, 60.93, 53.48, 16.92, 51.15, 32.59, 10.0, 73.73, 68.1, 64.69, 45.72, 66.04, 69.08, 61.13, 61.28, 59.89, 51.55, 60.53, 51.26, 58.88, 56.62, 70.54, 72.38, 60.27, 10.0, 38.64, 52.82, 50.55, 54.22, 52.36, 64.56, 35.88, 72.91, 74.9, 32.43, 51.48, 56.83, 47.75, 47.57, 60.11, 71.4, 18.23, 55.21, 61.6, 71.85, 47.03, 39.25, 67.59, 55.83, 65.37, 71.04, 10.0, 10.0, 55.56, 73.17, 71.4, 61.17, 52.07, 63.18, 32.95, 67.32, 50.05, 65.23, 57.77, 39.09, 73.23]}
